Sample,,,,,,,,,Hex4Cer d18:1/14:0 [M>SphB] Results,,,,,,,Hex4Cer d32:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/16:1 [M>SphB] Results,,,,,,,Hex4Cer d18:2/16:0 [M>SphB] Results,,,,,,,Hex4Cer d34:2 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/16:0 [M>SphB] Results,,,,,,,Hex4Cer d34:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:2/18:0 [M>SphB] Results,,,,,,,Hex4Cer d18:1/18:1 [M>SphB] Results,,,,,,,Hex4Cer d36:2 [M>M-HexAll] Results,,,,,,,Hex4Cer d35:1 [M>M-HexAll] Results,,,,,,,Hex2Cer d18:1/16:0 d3 (IS) [M>SphB] Results,,,,,,,Hex2Cer d34:1 d3 (IS) [M>M-HexAll] Results,,,,,,,Hex4Cer d36:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/18:0 [M>SphB] Results,,,,,,,Hex4Cer d18:1/20:1 [M>SphB] Results,,,,,,,Hex4Cer d38:2 [M>M-HexAll] Results,,,,,,,Hex3Cer d18:1/18:0 d3 (IS) [M>SphB] Results,,,,,,,Hex3Cer d36:1 d3 (IS) [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/19:0 [M>SphB] Results,,,,,,,Hex4Cer d37:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/20:0 [M>SphB] Results,,,,,,,Hex4Cer d38:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/17:0 [M>SphB] Results,,,,,,,Hex4Cer d18:1/22:1 [M>SphB] Results,,,,,,,Hex4Cer d18:2/22:0 [M>SphB] Results,,,,,,,Hex4Cer d40:2 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:2/24:1 [M>SphB] Results,,,,,,,Hex4Cer d42:3 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/22:0 [M>SphB] Results,,,,,,,Hex4Cer d40:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/24:1 [M>SphB] Results,,,,,,,Hex4Cer d42:2 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:2/24:0 [M>SphB] Results,,,,,,,Hex4Cer d18:1/25:1 [M>SphB] Results,,,,,,,Hex4Cer d43:2 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/23:0 [M>SphB] Results,,,,,,,Hex4Cer d41:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/24:0 [M>SphB] Results,,,,,,,Hex4Cer d42:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/25:0 [M>SphB] Results,,,,,,,Hex4Cer d43:1 [M>M-HexAll] Results,,,,,,,Hex4Cer d18:1/26:0 [M>SphB] Results,,,,,,,Hex4Cer d44:1 [M>M-HexAll] Results,,,,,,
,,Name,Data File,Type,Level,Acq. Date-Time,Vol.,Pos.,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI,RT,Area,Height,FWHM,Int. Start,Int. End,MI
,,QC_E1-4_Gb4,035_FabryP1_QC_E1-4_Gb4.d,Sample,,12-Nov-16 09:04,-1.00,P1-D9,3.576,252,56,0.070,3.505,3.689,False,3.590,356,76,0.079,3.506,3.688,False,3.660,14,5,0.065,3.618,3.702,False,3.646,424,83,0.080,3.575,3.773,False,3.674,359,70,0.078,3.563,3.787,False,3.942,10838,2373,0.072,3.843,4.140,False,3.956,6352,1337,0.076,3.829,4.083,False,4.025,68,18,0.065,3.955,4.079,False,4.054,80,15,0.099,3.898,4.124,False,4.011,336,42,0.097,3.884,4.237,True,4.125,241,37,0.073,3.974,4.408,True,4.242,51816,10368,0.078,4.090,4.511,False,4.242,29431,6047,0.076,4.115,4.327,False,4.322,2300,453,0.080,4.211,4.434,False,4.395,18,5,0.066,4.296,4.438,False,4.377,570,110,0.077,4.278,4.476,False,4.391,900,186,0.071,4.278,4.569,False,4.468,570630,129767,0.069,4.340,4.651,False,4.468,351001,78889,0.069,4.340,4.651,False,4.477,111,24,0.071,4.406,4.564,False,4.477,186,46,0.065,4.406,4.568,False,4.659,1941,400,0.077,4.561,4.772,False,4.674,1761,325,0.088,4.546,4.857,False,4.677,153,29,0.087,4.578,4.790,False,4.701,1409,181,0.129,4.518,4.827,False,4.743,850,156,0.080,4.658,4.927,False,4.715,3350,439,0.119,4.560,5.009,False,4.741,641,104,0.094,4.657,4.921,False,4.741,1070,172,0.098,4.628,4.953,False,4.969,9475,2146,0.069,4.870,5.138,False,4.969,8509,1917,0.069,4.870,5.110,False,4.967,8507,1926,0.067,4.882,5.150,False,4.967,13852,2505,0.072,4.868,5.235,False,5.066,561,112,0.076,4.967,5.193,False,5.135,113,22,0.070,5.064,5.375,False,5.121,390,58,0.105,5.016,5.333,False,5.138,2245,450,0.077,5.011,5.298,False,5.138,1933,387,0.075,5.011,5.392,False,5.305,4102,645,0.106,5.178,5.475,False,5.305,4039,702,0.093,5.178,5.459,False,5.417,234,42,0.091,5.304,5.559,False,5.403,354,59,0.080,5.262,5.502,False,5.572,149,34,0.070,5.473,5.841,False,5.544,155,26,0.097,5.374,5.656,False
!,!,QC_E1-4_Gb4,036_FabryP1_QC_E1-4_Gb4.d,Sample,,12-Nov-16 09:15,-1.00,P1-D9,3.576,151,30,0.082,3.486,3.675,False,3.604,249,52,0.078,3.505,3.774,False,3.702,64,10,0.082,3.575,3.801,False,3.660,476,98,0.071,3.575,3.801,False,3.646,471,96,0.071,3.533,3.773,False,3.942,8434,1725,0.078,3.815,4.097,False,3.956,6145,1249,0.078,3.829,4.082,False,3.955,61,8,0.144,3.856,4.152,False,,,,,,,False,4.025,331,44,0.130,3.939,4.153,False,4.140,176,36,0.068,3.970,4.224,False,4.242,50206,10317,0.076,4.101,4.511,False,4.242,30245,6219,0.076,4.101,4.327,False,4.322,1672,286,0.094,4.223,4.477,False,4.367,27,7,0.067,4.310,4.424,False,4.391,239,47,0.086,4.264,4.462,False,4.377,940,206,0.069,4.264,4.504,False,4.468,592542,133124,0.069,4.340,4.651,False,4.468,403451,93194,0.068,4.340,4.651,False,4.477,93,22,0.068,4.434,4.632,False,4.491,193,30,0.107,4.336,4.828,False,4.659,1349,240,0.092,4.560,4.758,False,4.659,1391,293,0.077,4.575,4.872,False,4.677,167,38,0.073,4.592,4.810,False,4.701,1333,221,0.094,4.588,4.814,False,4.729,766,122,0.087,4.644,4.884,False,4.729,3271,438,0.125,4.573,4.899,False,4.755,697,105,0.106,4.642,4.925,False,4.741,1236,195,0.101,4.642,4.953,False,4.969,9608,2204,0.068,4.870,5.209,False,4.969,7493,1609,0.070,4.856,5.209,False,4.967,7777,1727,0.068,4.853,5.192,False,4.967,13703,2686,0.070,4.868,5.221,False,5.080,430,90,0.071,4.967,5.249,False,5.135,242,51,0.076,5.064,5.291,False,5.149,342,74,0.071,5.050,5.418,False,5.138,1899,411,0.073,5.040,5.350,False,5.138,1830,349,0.083,5.025,5.386,False,5.305,4475,721,0.106,5.150,5.447,False,5.305,3741,704,0.089,5.178,5.404,False,5.417,312,72,0.070,5.347,5.516,False,5.403,464,86,0.085,5.301,5.516,False,5.586,107,24,0.069,5.487,5.685,False,5.572,151,26,0.094,5.388,5.629,False
!,!,S01_F14N_E1-4_Gb4,037_FabryP1_S01_F14N_E1-4_Gb4.d,Sample,,12-Nov-16 09:27,-1.00,P1-A1,3.576,123,26,0.064,3.497,3.760,False,3.576,383,78,0.077,3.463,3.732,False,3.660,52,11,0.062,3.533,3.815,False,3.660,311,59,0.088,3.561,3.787,False,3.660,425,94,0.071,3.580,3.745,False,3.942,5847,1193,0.077,3.830,4.168,False,3.956,4774,1000,0.076,3.829,4.218,False,4.039,92,24,0.065,3.983,4.096,False,,,,,,,False,4.054,271,43,0.101,3.926,4.181,False,4.154,167,19,0.156,3.991,4.281,False,4.242,61732,13148,0.073,4.115,4.440,False,4.242,33384,7032,0.073,4.115,4.341,False,4.322,1184,223,0.082,4.223,4.633,False,,,,,,,False,4.391,335,67,0.073,4.250,4.462,False,4.391,411,72,0.089,4.291,4.575,False,4.468,710901,164759,0.068,4.354,4.708,False,4.468,385653,87699,0.069,4.340,4.736,False,4.505,78,14,0.100,4.434,4.576,False,4.491,31,7,0.068,4.392,4.604,False,4.659,1729,393,0.070,4.546,4.787,False,4.674,1863,385,0.076,4.575,4.928,False,4.677,484,116,0.067,4.550,4.847,False,4.673,1555,315,0.073,4.574,4.885,False,4.743,548,108,0.079,4.616,4.910,False,4.686,3789,638,0.088,4.587,4.899,False,4.727,521,69,0.127,4.628,4.911,False,4.741,800,147,0.075,4.642,4.897,False,4.997,11557,2442,0.075,4.870,5.138,False,4.983,10279,2152,0.075,4.856,5.152,False,4.995,12696,2584,0.076,4.882,5.150,False,4.995,18946,3621,0.078,4.882,5.235,False,5.066,540,90,0.086,4.910,5.256,False,5.149,250,38,0.108,5.037,5.262,False,5.107,401,55,0.120,4.966,5.245,False,5.138,1404,301,0.073,5.053,5.265,False,5.138,1404,294,0.073,5.011,5.250,False,5.291,10062,2174,0.073,5.181,5.461,False,5.291,6559,1353,0.077,5.178,5.432,False,5.431,150,21,0.120,5.319,5.544,False,5.403,258,59,0.068,5.276,5.502,False,5.572,112,19,0.085,5.488,5.699,False,5.544,134,31,0.071,5.474,5.647,False
!,!,S02_F19S_E1-4_Gb4,038_FabryP1_S02_F19S_E1-4_Gb4.d,Sample,,12-Nov-16 09:39,-1.00,P1-A2,3.576,426,100,0.066,3.505,3.746,False,3.576,391,75,0.076,3.477,3.715,False,3.688,49,10,0.064,3.603,3.842,False,3.646,454,81,0.078,3.561,3.784,False,3.660,620,112,0.082,3.575,3.787,False,3.956,7725,1665,0.073,3.829,4.097,False,3.956,5955,1296,0.072,3.843,4.084,False,4.039,131,26,0.097,3.955,4.110,False,4.054,133,27,0.080,3.955,4.110,False,4.039,376,59,0.098,3.914,4.168,False,4.140,180,35,0.067,4.012,4.317,False,4.242,64899,13731,0.074,4.115,4.511,False,4.242,31557,6636,0.074,4.115,4.341,False,4.322,1426,269,0.079,4.210,4.590,False,,,,,,,False,4.377,390,69,0.078,4.264,4.476,False,4.377,627,109,0.078,4.250,4.519,False,4.468,767397,179197,0.068,4.340,4.736,False,4.468,408044,93994,0.068,4.340,4.722,False,4.477,81,16,0.074,4.339,4.576,False,4.477,92,16,0.086,4.378,4.604,False,4.659,2652,573,0.073,4.532,4.758,False,4.659,1696,342,0.079,4.589,4.787,False,4.677,427,98,0.070,4.578,4.915,False,4.687,1544,271,0.094,4.560,4.800,False,4.743,621,112,0.082,4.644,4.952,False,4.687,3317,452,0.117,4.588,4.955,False,4.727,620,106,0.090,4.656,4.922,False,4.727,949,151,0.084,4.656,4.968,False,4.983,16992,3594,0.074,4.856,5.153,False,4.997,12639,2585,0.078,4.870,5.138,False,4.981,13812,2543,0.088,4.868,5.207,False,4.995,21756,4005,0.080,4.882,5.264,False,5.051,1082,208,0.075,4.924,5.220,False,5.135,197,45,0.072,5.050,5.192,False,5.135,370,55,0.092,4.965,5.291,False,5.138,1827,377,0.075,5.039,5.265,False,5.138,1169,237,0.075,5.025,5.322,False,5.291,15461,3345,0.073,5.164,5.404,False,5.291,11006,2308,0.075,5.178,5.404,False,5.403,288,55,0.082,5.248,5.530,False,5.417,236,49,0.077,5.290,5.515,False,5.544,261,47,0.085,5.459,5.808,False,5.544,284,59,0.078,5.423,5.629,False
!,!,S03_F25Y_E1-4_Gb4,039_FabryP1_S03_F25Y_E1-4_Gb4.d,Sample,,12-Nov-16 09:50,-1.00,P1-A3,3.562,135,24,0.094,3.505,3.732,False,3.576,335,78,0.070,3.505,3.661,False,,,,,,,False,3.674,232,42,0.092,3.589,3.787,False,3.660,400,74,0.090,3.575,3.759,False,3.942,12907,2803,0.073,3.829,4.126,False,3.956,8477,1814,0.074,3.843,4.182,False,4.039,146,32,0.070,3.898,4.124,False,4.068,98,23,0.069,3.997,4.195,False,4.039,301,43,0.095,3.969,4.294,True,4.140,223,35,0.089,3.991,4.281,False,4.242,63814,13559,0.073,4.115,4.511,False,4.242,31273,6501,0.076,4.115,4.341,False,4.322,3823,713,0.086,4.237,4.477,False,,,,,,,False,4.391,575,118,0.075,4.292,4.476,False,4.391,1692,356,0.072,4.278,4.518,False,4.468,638638,146276,0.068,4.340,4.651,False,4.468,376162,86586,0.068,4.340,4.651,False,4.491,110,26,0.069,4.421,4.589,False,4.505,304,55,0.091,4.335,4.604,False,4.659,6271,1343,0.074,4.532,4.801,False,4.659,6099,1217,0.080,4.546,4.787,False,4.663,362,79,0.076,4.578,4.748,False,4.687,3858,700,0.084,4.574,4.843,False,4.743,1506,264,0.089,4.644,4.913,False,4.686,9181,1371,0.105,4.559,4.927,False,4.741,958,167,0.084,4.657,4.854,False,4.741,2161,361,0.093,4.643,4.981,False,4.997,48013,9743,0.077,4.856,5.223,False,4.983,36777,7681,0.075,4.884,5.194,False,4.981,30918,6016,0.081,4.882,5.257,False,4.981,43768,8084,0.081,4.882,5.320,False,5.065,2098,427,0.075,4.938,5.207,False,5.135,347,72,0.072,5.050,5.290,False,5.135,508,72,0.100,4.979,5.276,False,5.138,4132,871,0.076,5.039,5.378,False,5.138,3198,639,0.077,5.011,5.321,False,5.291,38810,8345,0.073,5.150,5.560,False,5.291,29659,6276,0.074,5.164,5.503,False,5.417,564,122,0.075,5.290,5.515,False,5.417,1017,223,0.072,5.290,5.629,False,5.558,737,158,0.075,5.468,5.713,False,5.530,680,139,0.074,5.445,5.714,False
,,S04_F01A_E1-4_Gb4,040_FabryP1_S04_F01A_E1-4_Gb4.d,Sample,,12-Nov-16 10:02,-1.00,P1-A4,3.576,358,76,0.069,3.463,3.689,False,3.590,365,72,0.076,3.505,3.760,False,3.716,32,8,0.064,3.622,3.868,False,3.646,501,97,0.076,3.547,3.773,False,3.660,555,120,0.076,3.575,3.759,False,3.942,10247,2163,0.074,3.829,4.126,False,3.956,7663,1542,0.078,3.829,4.154,False,4.039,118,21,0.090,3.898,4.195,False,4.082,95,14,0.115,3.969,4.181,False,4.039,540,93,0.090,3.940,4.167,False,4.125,125,29,0.065,4.055,4.338,False,4.242,64705,13675,0.073,4.115,4.511,False,4.242,31652,6650,0.075,4.115,4.327,False,4.322,4076,817,0.077,4.194,4.435,False,4.268,11,3,0.065,4.226,4.310,False,4.391,793,155,0.073,4.250,4.490,False,4.391,1577,328,0.072,4.250,4.547,False,4.468,542289,121185,0.070,4.340,4.736,False,4.468,365755,83214,0.069,4.340,4.736,False,4.477,108,22,0.073,4.420,4.590,False,4.491,249,57,0.070,4.378,4.578,False,4.674,6683,1467,0.073,4.575,4.787,False,4.674,5513,1153,0.077,4.546,4.843,False,4.677,355,84,0.069,4.592,4.751,False,4.673,2982,572,0.077,4.588,4.856,False,4.743,893,133,0.113,4.644,4.944,False,4.687,7287,1185,0.086,4.559,4.955,False,4.741,619,99,0.088,4.614,4.953,False,4.741,1212,195,0.101,4.642,4.883,False,4.997,20992,4499,0.074,4.900,5.157,False,4.997,19576,3972,0.077,4.870,5.195,False,4.981,14434,2847,0.078,4.868,5.136,False,4.995,23266,4423,0.080,4.882,5.207,False,5.051,889,159,0.079,4.924,5.193,False,5.135,280,51,0.093,5.065,5.276,False,5.135,222,38,0.091,5.036,5.262,False,5.138,1602,368,0.071,5.039,5.237,False,5.138,1628,340,0.076,5.011,5.237,False,5.291,11532,2338,0.079,5.180,5.474,False,5.291,10170,2198,0.073,5.178,5.404,False,5.417,194,35,0.090,5.332,5.585,False,5.417,303,52,0.092,5.304,5.542,False,5.572,235,48,0.093,5.473,5.643,False,5.544,278,60,0.073,5.450,5.684,False
,,S05_F03C_E1-4_Gb4,041_FabryP1_S05_F03C_E1-4_Gb4.d,Sample,,12-Nov-16 10:14,-1.00,P1-A5,3.576,409,94,0.068,3.491,3.689,False,3.590,505,101,0.078,3.435,3.732,False,3.688,71,17,0.068,3.561,3.783,False,3.674,549,118,0.072,3.575,3.815,False,3.660,819,157,0.080,3.533,3.773,False,3.956,18840,3974,0.075,3.846,4.183,False,3.942,15255,3179,0.075,3.829,4.098,False,3.997,65,12,0.085,3.884,4.235,False,4.082,120,20,0.087,3.912,4.153,False,4.039,559,97,0.087,3.870,4.181,False,4.140,237,30,0.133,4.013,4.309,True,4.242,59250,12337,0.073,4.101,4.482,False,4.242,32354,6754,0.075,4.115,4.341,False,4.322,3998,828,0.076,4.223,4.463,False,4.282,26,7,0.065,4.211,4.339,False,4.377,1068,218,0.072,4.250,4.476,False,4.391,2181,463,0.073,4.279,4.504,False,4.468,521272,113432,0.072,4.340,4.736,False,4.468,354698,78514,0.070,4.340,4.708,False,4.491,104,26,0.065,4.411,4.547,False,4.491,176,34,0.071,4.364,4.611,False,4.659,8124,1796,0.073,4.575,4.758,False,4.659,7162,1539,0.074,4.560,4.786,False,4.677,701,167,0.068,4.578,4.762,False,4.687,4420,806,0.080,4.546,4.857,False,4.743,1176,197,0.098,4.602,4.856,False,4.687,10521,1646,0.093,4.545,4.969,False,4.741,1391,240,0.089,4.644,4.939,False,4.741,2892,455,0.091,4.642,4.961,False,4.983,62674,13272,0.075,4.856,5.153,False,4.983,39543,8197,0.077,4.884,5.138,False,4.981,48600,9494,0.081,4.868,5.221,False,4.981,74218,14484,0.078,4.868,5.248,False,5.066,1815,362,0.073,4.924,5.207,False,5.135,441,74,0.097,5.052,5.291,False,5.121,619,98,0.089,4.994,5.422,False,5.138,3978,806,0.077,5.025,5.364,False,5.138,3915,784,0.077,5.011,5.293,False,5.291,41424,8711,0.075,5.151,5.532,False,5.291,34379,7302,0.075,5.178,5.475,False,5.403,384,70,0.091,5.290,5.573,False,5.417,785,147,0.074,5.248,5.587,False,5.544,447,88,0.075,5.417,5.728,False,5.544,600,125,0.074,5.445,5.742,False
!,!,S06_F07G_E1-4_Gb4,042_FabryP1_S06_F07G_E1-4_Gb4.d,Sample,,12-Nov-16 10:25,-1.00,P1-A6,3.590,306,63,0.073,3.505,3.731,False,3.590,557,115,0.076,3.491,3.702,False,3.674,68,13,0.102,3.590,3.745,False,3.660,410,86,0.074,3.576,3.773,False,3.660,608,126,0.079,3.575,3.773,False,3.956,5779,1224,0.074,3.843,4.069,False,3.956,3931,800,0.077,3.829,4.125,False,4.011,40,10,0.067,3.941,4.124,False,,,,,,,False,4.039,276,50,0.082,3.926,4.181,False,4.125,66,17,0.064,4.069,4.196,False,4.242,60511,12517,0.075,4.115,4.468,False,4.242,34755,7541,0.072,4.115,4.327,False,4.322,259,56,0.072,4.223,4.576,False,,,,,,,False,4.434,40,7,0.109,4.313,4.476,False,4.377,38,9,0.067,4.307,4.447,False,4.468,570595,129214,0.069,4.340,4.651,False,4.468,384747,88189,0.068,4.340,4.651,False,4.463,34,9,0.066,4.406,4.519,False,,,,,,,False,4.659,81,19,0.068,4.589,4.742,False,4.674,185,47,0.067,4.589,4.730,False,4.677,554,130,0.070,4.606,4.762,False,4.659,184,36,0.069,4.489,4.744,False,4.771,79,14,0.099,4.672,4.952,False,4.715,102,20,0.073,4.573,4.814,False,4.741,72,15,0.081,4.671,4.826,False,4.798,54,8,0.107,4.629,4.939,False,4.997,1014,199,0.078,4.880,5.223,False,4.983,488,114,0.069,4.889,5.082,False,4.995,972,191,0.076,4.873,5.122,False,4.981,2028,403,0.072,4.896,5.174,False,5.108,54,12,0.068,4.995,5.215,False,,,,,,,False,5.177,1,0,0.829,5.036,5.220,True,5.152,80,22,0.063,5.096,5.208,False,5.152,99,21,0.091,5.081,5.236,False,5.277,1170,230,0.077,5.178,5.433,False,5.291,797,156,0.077,5.192,5.404,False,5.446,30,8,0.057,5.389,5.502,False,5.446,21,5,0.069,5.290,5.488,False,5.544,12,4,0.065,5.502,5.586,False,5.530,55,13,0.063,5.473,5.643,False
!,!,QC_E1-4_Gb4,043_FabryP1_QC_E1-4_Gb4.d,Sample,,12-Nov-16 10:37,-1.00,P1-D9,3.590,257,47,0.094,3.463,3.730,False,3.576,438,94,0.072,3.504,3.703,False,3.688,68,15,0.071,3.618,3.834,False,3.646,330,50,0.131,3.575,3.787,True,3.660,476,83,0.079,3.575,3.787,False,3.956,9204,1868,0.078,3.843,4.140,False,3.956,6426,1384,0.073,3.857,4.084,False,4.025,122,29,0.063,3.969,4.181,False,4.011,104,19,0.088,3.955,4.110,False,4.039,276,50,0.080,3.919,4.167,False,4.125,263,61,0.069,4.055,4.253,False,4.242,50351,9947,0.078,4.086,4.426,False,4.242,30863,6454,0.075,4.115,4.327,False,4.322,2333,460,0.082,4.209,4.485,False,,,,,,,False,4.363,351,74,0.074,4.264,4.434,False,4.377,1083,219,0.072,4.264,4.518,False,4.468,733209,169466,0.068,4.340,4.651,False,4.468,401715,91116,0.069,4.340,4.720,False,4.505,143,34,0.077,4.434,4.576,False,4.505,106,28,0.068,4.435,4.561,False,4.659,1863,350,0.082,4.546,4.773,False,4.659,1813,346,0.085,4.547,4.787,False,4.677,154,37,0.069,4.607,4.762,False,4.715,1255,195,0.098,4.574,4.871,False,4.743,1023,174,0.095,4.645,4.982,False,4.701,3730,544,0.104,4.588,4.998,False,4.741,590,86,0.110,4.643,4.965,False,4.741,1204,199,0.093,4.657,4.925,False,4.969,10621,2395,0.068,4.870,5.181,False,4.969,8495,1883,0.069,4.884,5.223,False,4.967,9285,1998,0.067,4.868,5.207,False,4.967,14209,2673,0.069,4.853,5.207,False,5.065,670,131,0.073,4.924,5.193,False,5.149,254,56,0.072,5.051,5.256,False,5.121,396,62,0.088,5.022,5.390,False,5.138,2018,442,0.073,5.029,5.364,False,5.138,2228,504,0.070,5.011,5.293,False,5.305,4267,696,0.103,5.164,5.517,False,5.305,4512,801,0.095,5.136,5.461,False,5.417,219,58,0.065,5.347,5.495,False,5.417,373,82,0.074,5.318,5.488,False,5.558,156,28,0.096,5.431,5.692,False,5.544,109,12,0.172,5.459,5.784,True
!,!,S07_F20T_E1-4_Gb4,044_FabryP1_S07_F20T_E1-4_Gb4.d,Sample,,12-Nov-16 10:49,-1.00,P1-A7,3.576,234,54,0.069,3.477,3.703,False,3.576,370,92,0.067,3.519,3.845,False,3.716,16,4,0.065,3.674,3.869,False,3.660,432,93,0.071,3.575,3.844,False,3.660,449,94,0.076,3.569,3.759,False,3.956,13762,2967,0.073,3.843,4.225,False,3.956,8203,1735,0.075,3.843,4.154,False,4.039,140,24,0.091,3.943,4.152,False,4.025,92,12,0.137,3.914,4.152,False,4.011,448,77,0.083,3.885,4.209,True,4.154,372,74,0.076,4.041,4.338,False,4.242,61313,12907,0.073,4.115,4.454,False,4.242,34930,7449,0.073,4.115,4.355,False,4.322,3771,715,0.082,4.223,4.590,False,,,,,,,False,4.377,881,173,0.076,4.264,4.476,False,4.377,1747,354,0.071,4.250,4.632,False,4.468,635001,146324,0.069,4.340,4.736,False,4.468,355931,80425,0.068,4.340,4.651,False,4.491,174,37,0.077,4.392,4.619,False,4.505,214,36,0.108,4.378,4.647,False,4.659,6319,1390,0.072,4.560,4.787,False,4.659,7042,1517,0.073,4.560,4.857,False,4.663,205,51,0.066,4.592,4.734,False,4.673,3651,718,0.074,4.560,4.942,False,4.729,1130,182,0.102,4.630,4.898,False,4.687,9089,1493,0.085,4.573,4.941,False,4.727,869,124,0.123,4.642,5.166,False,4.741,1655,306,0.079,4.642,4.968,False,4.983,43904,9226,0.075,4.889,5.218,False,4.983,32301,7001,0.073,4.870,5.181,False,4.995,30939,5964,0.081,4.868,5.179,False,4.981,50023,9284,0.082,4.853,5.193,False,5.051,1580,315,0.075,4.924,5.207,False,5.135,480,93,0.079,5.050,5.276,False,5.135,542,77,0.109,5.008,5.305,False,5.138,3457,730,0.074,5.039,5.265,False,5.138,3154,637,0.080,5.011,5.251,False,5.277,29913,6217,0.075,5.182,5.602,False,5.277,28696,6002,0.076,5.164,5.433,False,5.417,370,72,0.083,5.318,5.502,False,5.417,768,135,0.084,5.290,5.545,False,5.544,688,131,0.094,5.431,5.671,False,5.544,663,121,0.089,5.431,5.657,False
